output_file,line,evidence_id,evidence_exists,evidence_pack_included,excluded_id_misused,status
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,7,E04,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,8,E01,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,9,E12,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,10,E08,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,10,E02,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,10,E06,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,34,E04,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,37,E01,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,40,E05,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,43,E08,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,46,E02,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,47,E06,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,54,E13,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,55,E14,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,56,E15,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,59,E12,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,60,E11,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,96,E12,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E04,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E12,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E01,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E05,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E08,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E02,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E06,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E11,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E13,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E14,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_proposal.md,99,E15,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_brief.md,14,E01,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_brief.md,15,E08,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,11,E01,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,33,E02,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,58,E03,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,83,E04,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,106,E05,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,128,E06,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,153,E07,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,178,E08,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,203,E09,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,228,E10,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,250,E11,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,273,E12,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,296,E13,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,319,E14,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,342,E15,True,True,False,PASS
artifacts/ai_upgrade/baseline_outputs/baseline_evidence_pack.md,365,E16,True,True,False,PASS
