case_id,condition,evaluation_status,execution_status
CG-BGD-ENERGY,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-BGD-ENERGY,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-BGD-ENERGY,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-IDN-ADMIN,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-IDN-ADMIN,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-IDN-ADMIN,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-NPL-HEALTH,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-NPL-HEALTH,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-NPL-HEALTH,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-PER-CLIMATE,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-PER-CLIMATE,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-PER-CLIMATE,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-PHL-AGRI,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-PHL-AGRI,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-PHL-AGRI,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-RWA-TECH,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-RWA-TECH,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-RWA-TECH,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-SEN-AGRI,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-SEN-AGRI,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-SEN-AGRI,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-TZA-ENERGY,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-TZA-ENERGY,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-TZA-ENERGY,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-UGA-EDU,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-UGA-EDU,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-UGA-EDU,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-VNM-ADMIN,GENERIC,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-VNM-ADMIN,KODA_CONTROLLED,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
CG-VNM-ADMIN,RAW_EVIDENCE,NOT_EVALUATED,NOT_EXECUTED_NO_API_KEY
